Grouping,"Lead Request Users","Lead Users",Leads,Leads/LU,"Unreconciled Publisher Lead Revenue","Clickout Impressions",Clickouts,"Clickthrough Rate","Unreconciled Publisher Clickout Revenue","Unreconciled Publisher Total Revenue","Source Code","Tracking Code","Adult Lead Request Users","Adult Lead Users","Adult Leads","Adult Leads / LU","Adult Unreconciled Publisher Lead Revenue","Adult Clickouts","Adult Clickout Revenue","High School Lead Request Users","High School Lead Users","High School Leads","High School Leads / LU","High School Unreconciled Publisher Lead Revenue","High School Clickouts","High School Clickout Revenue"
"2017-12-29 Fri",1,0,0,0,0,11,2,0.1818,4.38,4.38,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-m_kw-75866353266659_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-29 Fri",1,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-m_kw-75866353266667_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-29 Fri",0,0,0,0,0,4,0,0,0,0,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-m_kw-75866353266822_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-29 Fri",0,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-m_kw-75866353266899_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-29 Fri",1,0,0,0,0,3,1,0.3333,3.43,3.43,sa-B0D889DD-_pb-b2_cp-277399748_ag-1216059923223192_dv-c_kw-76003792332019_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-29 Fri",1,1,1,1,22.75,2,1,0.5,3.05,25.8,sa-B0D889DD-_pb-b2_cp-277399748_ag-1216059923223192_dv-c_kw-76003792332020_var-b_,,1,1,1,1,22.75,1,3.05,0,0,0,,0,0,0
"2017-12-29 Fri",1,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099026681_dv-m_kw-kwd-132618993161_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-29 Fri",1,0,0,0,0,6,0,0,0,0,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099026681_dv-m_kw-kwd-132618995321_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-29 Fri",3,1,1,1,15.25,3,1,0.3333,7.32,22.57,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099026681_dv-m_kw-kwd-1451715252_var-b_,,3,1,1,1,15.25,1,7.32,0,0,0,,0,0,0
"2017-12-29 Fri",2,0,0,0,0,4,1,0.25,9.15,9.15,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099026681_dv-m_kw-kwd-30892861782_var-b_,,2,0,0,,0,1,9.15,0,0,0,,0,0,0
